new_cddist,dem_total_new,rep_total_new,two_party_total_new,dem_share_new
01,172905.85563939062,135493.20383980585,308399.05947919644,0.5606562352407377
02,220392.90580288615,140519.18370955848,360912.0895124446,0.6106553706765946
03,177004.32652492585,154018.7530798194,331023.07960474526,0.5347189891903491
04,183427.30338728466,122406.93335688073,305834.2367441654,0.5997605282521856
05,111083.96743091675,192629.4397457778,303713.40717669454,0.36575259704057206
06,166713.2488378998,148287.2297708523,315000.47860875214,0.5292476048741716
07,188340.74259035365,143707.98627302685,332048.7288633805,0.5672081421153259
08,191836.13049570957,88973.73902422395,280809.86951993353,0.6831530915336718
09,145746.38464733906,103143.27186711377,248889.65651445283,0.5855863465297348
10,235405.14961719516,120319.75011729405,355724.8997344892,0.6617617990556749
11,240065.08955329008,55048.68554457663,295113.7750978667,0.8134662283171256
12,272882.47930061124,798.590940510524,273681.07024112175,0.9970820380824771
13,109011.16854516488,95414.77876037013,204425.94730553502,0.5332550489896314
14,170947.45068134915,83915.35725189974,254862.80793324887,0.6707430247183104
15,185092.25204695182,67809.60415727878,252901.8562042306,0.7318738376419064
16,288342.02781537006,1938.949296116774,290280.97711148683,0.9933204396808542
17,156592.443247282,74118.93761435575,230711.38086163776,0.6787374019541482
18,135050.8644388539,72314.37820306918,207365.24264192308,0.6512704960496144
19,217086.04346631846,89108.91417724815,306194.9576435666,0.7089798118720901
20,19875.063382596873,266000.52153818763,285875.5849207845,0.06952347255574207
21,95634.2767512481,97569.41229074835,193203.68904199643,0.4949919808749625
22,80137.08694134049,86946.74647457496,167083.83341591543,0.47962202747562227
23,105150.81572715001,163548.06219335282,268698.8779205028,0.39133328929739675
24,199218.8033905775,117302.08718623762,316520.8905768151,0.6294017530012918
25,145435.9022177846,111704.27134835898,257140.17356614358,0.5655899667516342
26,192787.62671055878,140928.00804149284,333715.6347520516,0.577700313183704
27,152792.53708941754,126919.6471577522,279712.18424716976,0.5462491292635335
28,200861.61330463365,111647.2799351718,312508.8932398055,0.6427388712759011
29,148357.8156044951,66252.63104583914,214610.44665033423,0.6912888814131921
30,214628.5376432883,102360.54683508362,316989.0844783719,0.677084947566806
31,155597.41129051617,117363.17604603025,272960.5873365464,0.5700361829111709
32,208660.5151756985,126975.46772701244,335635.9829027109,0.6216869638681793
33,138142.92080287196,96639.25130674263,234782.1721096146,0.5883876086569985
34,189386.53942899022,11.134015594711268,189397.67344458494,0.9999412135566809
35,140346.2273268983,110452.62698570619,250798.8543126045,0.5595967641541371
36,245954.10135069749,111958.97229232643,357913.0736430239,0.687189486674096
37,160390.6116820363,16.975331185873152,160407.5870132222,0.9998941737638353
38,137183.37901420332,107847.95736097301,245031.33637517632,0.5598605510772585
39,123353.99249615877,94592.48198285568,217946.47447901446,0.5659829680247305
40,153993.04765625243,202983.00363931758,356976.05129557,0.43138201315569163
41,173124.9125245462,121051.1447340408,294176.057258587,0.5885078280601393
42,188579.86769609185,146784.356816444,335364.22451253585,0.5623136098377803
43,160062.50500146954,53133.778688433675,213196.2836899032,0.7507753054189376
44,146758.07592353717,53597.58826506571,200355.66418860288,0.7324877812557765
45,150963.12320092556,135716.89138856504,286680.0145894906,0.5265910266437517
46,135479.35256869684,84460.11431409462,219939.46688279146,0.6159847274745623
47,181109.3868520408,159796.82672101687,340906.21357305767,0.5312586853546108
48,161956.91919707155,152909.17989728585,314866.0990943574,0.5143675983629382
49,204465.37966469018,170707.43028754895,375172.80995223916,0.5449898666449718
50,208819.4137120625,149517.59819062878,358337.0119026913,0.5827458698817547
51,194945.59451241198,135202.92076747082,330148.5152798828,0.5904784831370428
52,164494.1100899487,92519.7057984147,257013.8158883634,0.6400204966467578
